epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9256,4.02131,4.29137,4.01629,2e-05,0.00071,1e-05,0,4.27342,4.43601,4.18541,0.000652778,0.000652778,0.000652778
2,42.6238,2.71828,2.82599,2.71377,0,0,0,0,4.48268,4.04043,4.43545,0.00129332,0.00129332,0.00129332
3,56.9103,2.20128,1.88774,1.9614,0.55643,0.33405,0.32665,0.15845,2.13539,2.12822,2.0472,0.00190746,0.00190746,0.00190746
4,71.261,1.97262,1.55692,1.67505,0.73967,0.52279,0.59663,0.29609,1.8951,1.44758,1.61975,0.0018812,0.0018812,0.0018812
5,85.5025,1.79302,1.29299,1.51701,0.80181,0.60969,0.70114,0.38772,1.63906,1.2012,1.43742,0.0018416,0.0018416,0.0018416
6,100.994,1.68654,1.14891,1.39864,0.81124,0.68162,0.77078,0.43355,1.49439,1.07596,1.32162,0.001802,0.001802,0.001802
7,115.229,1.55658,1.04045,1.32348,0.84568,0.69017,0.78668,0.47504,1.39831,0.97402,1.29686,0.0017624,0.0017624,0.0017624
8,129.746,1.4883,0.97613,1.26859,0.85627,0.71581,0.80498,0.4841,1.3255,0.89827,1.24096,0.0017228,0.0017228,0.0017228
9,144.811,1.4296,0.91529,1.23263,0.86899,0.73226,0.82916,0.53366,1.223,0.82236,1.2072,0.0016832,0.0016832,0.0016832
10,159.427,1.32803,0.85292,1.19452,0.84428,0.75997,0.82716,0.52365,1.23374,0.79585,1.1796,0.0016436,0.0016436,0.0016436
11,173.564,1.25833,0.81347,1.17268,0.86581,0.77137,0.85306,0.55039,1.16643,0.77076,1.17603,0.001604,0.001604,0.001604
12,187.551,1.20455,0.76894,1.15159,0.87334,0.78083,0.86173,0.57296,1.09331,0.73661,1.11827,0.0015644,0.0015644,0.0015644
13,202.082,1.1588,0.73877,1.11011,0.87784,0.79333,0.87258,0.5864,1.02988,0.67592,1.0897,0.0015248,0.0015248,0.0015248
